GL_RMSE,GL_REL,GL_log10,HG_RMSE,HG_REL,HG_log10,F_RMSE,F_REL,F_log10,GL_ASS,GL_AO,GL_SSS,HG_ASS,HG_AO,HG_SSS,F_ASS,F_AO,F_SSS
0.9098673,0.9060829,0.9995769,0.83361167,0.8105979,1.0,0.92882675,0.93560994,1.0,0.45685655,-0.00877645,0.044196494,0.29687443,-0.07027564,0.03964704,0.3947923,-0.08200623,0.04710428
0.9102838039398192,0.9016589522361756,0.9992730617523192,0.8454874157905579,0.829810619354248,1.0,0.9282062649726868,0.9369656443595886,1.0,0.4512094855308532,-0.0215226802974939,0.0453134775161743,0.2903814911842346,-0.0665068700909614,0.03722470626235,0.4704659581184387,-0.0931143760681152,0.0533686615526676
0.9107627272605896,0.902401089668274,0.999800980091095,0.8439086079597473,0.8334371447563171,1.0,0.9295598268508912,0.9369881749153136,1.0,0.4565997719764709,-0.0174255594611167,0.0468073934316635,0.2920969724655151,-0.0684052556753158,0.0378620401024818,0.4866319894790649,-0.113682322204113,0.0587619021534919
0.9091650247573853,0.904360055923462,0.9995803236961364,0.829347550868988,0.8069076538085938,1.0,0.9293244481086732,0.9368906021118164,1.0,0.4678861200809479,-0.0321686975657939,0.0496275387704372,0.3195120692253113,-0.0802995562553405,0.0430850982666015,0.4610395729541778,-0.0930642634630203,0.0535343922674655
0.9087329506874084,0.9027169346809388,0.999717891216278,0.8418858647346497,0.8263040781021118,1.0,0.929749608039856,0.9366890788078308,1.0,0.4508833587169647,-0.0142333125695586,0.0448293350636959,0.3001218736171722,-0.0808139517903328,0.0410667173564434,0.5143831372261047,-0.1191571429371833,0.0616447851061821
0.91313499212265,0.908106803894043,0.9997003078460692,0.8528861403465271,0.8406708836555481,1.0,0.9320423007011414,0.9396955370903016,1.0,0.4031320512294769,-0.0220805015414953,0.0438102670013904,0.3050446808338165,-0.0806654542684555,0.0425771065056324,0.4798985123634338,-0.1019252985715866,0.0580938942730426
0.9114144444465636,0.9089104533195496,0.9995729327201844,0.8425275087356567,0.8271703720092773,1.0,0.9323284029960632,0.9394200444221495,1.0,0.4132542610168457,-0.0350327342748642,0.0445067398250103,0.3076856732368469,-0.0735117197036743,0.0407729148864746,0.5008375644683838,-0.1144563183188438,0.0600255876779556
0.9097230434417723,0.9062531590461732,0.9994665384292604,0.8415678143501282,0.8243411183357239,1.0,0.9299483299255372,0.9374945759773254,1.0,0.4227501153945923,-0.0166049860417842,0.0450688935816288,0.2501410543918609,-0.0606772787868976,0.0351958088576793,0.45814248919487,-0.1065656170248985,0.0565401762723922
0.9070258736610411,0.9023377299308776,0.9985338449478148,0.8465741276741028,0.831963837146759,1.0,0.9309276938438416,0.9384778141975404,0.999994456768036,0.4865328669548034,-0.0014509459724649,0.0451005846261978,0.2811679542064667,-0.0625974535942077,0.0356023721396923,0.3842364549636841,-0.0806576162576675,0.0440928377211093
0.9148980975151062,0.9058200120925903,0.9994103312492371,0.8328768014907837,0.8145411610603333,1.0,0.9300551414489746,0.9374226927757263,1.0,0.4618012011051178,-0.016513057053089142,0.04593272507190704,0.26470986008644104,-0.06368178874254227,0.035236433148384094,0.4542560577392578,-0.10247424244880676,0.05464410409331322
